round,accuracy,loss,f1,asr,epsilon,num_quarantined,num_rollbacks,round_time_sec
1,0.108,2.2218092041015627,0.027607005490222755,0.0,9.997192740152549,0,0,114.0604612827301
2,0.108,2.2207425384521486,0.027418974787395838,0.0,9.997192740152549,0,0,111.27074265480042
3,0.106,2.222083951950073,0.03406888834302246,0.0,9.997192740152549,0,0,109.43241453170776
4,0.11,2.223706045150757,0.033536538073743155,0.0,9.997192740152549,0,0,110.41168022155762
5,0.108,2.222869550704956,0.02497820000917894,0.0,9.997192740152549,0,0,110.578777551651
