round,accuracy,loss,f1,asr,epsilon,num_quarantined,num_rollbacks,round_time_sec
1,0.1,2.2142637996673584,0.046973244619258385,0.0,9.99355250011727,0,0,78.06484055519104
2,0.102,2.2199452228546144,0.0456706373853516,0.0,9.99355250011727,0,0,77.89983177185059
3,0.116,2.2276231689453123,0.033602039755634916,0.0,9.99355250011727,0,0,74.7731261253357
4,0.116,2.234397113800049,0.0332449388570354,0.0,9.99355250011727,0,0,75.31148624420166
5,0.112,2.2351004028320314,0.02883345424781889,0.0,9.99355250011727,0,0,75.25530862808228
