round,accuracy,loss,f1,asr,epsilon,num_quarantined,num_rollbacks,round_time_sec
1,0.108,2.2165255737304688,0.03902919692393377,0.0,5.994105470520829,0,0,7.3294596672058105
2,0.11,2.21518444442749,0.03829645553311764,0.0,5.994105470520829,0,0,4.010110855102539
3,0.108,2.2160793113708497,0.03507975251177839,0.0,5.994105470520829,0,0,1.9174163341522217
4,0.118,2.2174850788116456,0.04494351595612892,0.0,5.994105470520829,0,0,4.069211483001709
5,0.12,2.2141484870910646,0.04693867875252124,0.0,5.994105470520829,0,0,3.9718143939971924
