round,accuracy,loss,f1,asr,epsilon,num_quarantined,num_rollbacks,round_time_sec
1,0.108,2.2130326805114744,0.0535457669478288,0.0,9.997678609672267,0,0,23.472514390945435
2,0.11,2.218032995223999,0.03381090335736759,0.0,9.997678609672267,0,0,26.065086364746094
3,0.1,2.228325071334839,0.03635794436856928,0.0,9.997678609672267,0,0,21.424853324890137
4,0.11,2.2367757816314695,0.0361500040939982,0.0,9.997678609672267,0,0,21.495009660720825
5,0.104,2.2417343482971193,0.033734567901234566,0.0,9.997678609672267,0,0,20.927075624465942
