round,accuracy,loss,f1,asr,epsilon,num_quarantined,num_rollbacks,round_time_sec
1,0.124,2.2157053871154786,0.05666635920914012,0.0,9.997984888383964,0,0,33.647428035736084
2,0.122,2.2299969272613525,0.059851961226014466,0.0,9.997984888383964,0,0,30.442273378372192
3,0.128,2.241969602584839,0.05496463624857109,0.0,9.997984888383964,0,0,30.88739585876465
4,0.114,2.2490251293182375,0.031911869225302064,0.0,9.997984888383964,0,0,30.67320680618286
5,0.114,2.2534483318328857,0.032282156126888104,0.0,9.997984888383964,0,0,30.7470440864563
